Алгоритм,Пошук на початку тексту,Пошук в середині тексту,Пошук в кінці тексту
Кнута-Морріса-Пратта,4.491025604016613,518.672466353979,984.284799833491
Боєра-Мура,3.3260127709945664,160.86731904151384,414.7395038745017
Рабіна-Карпа,10.672972145490348,1212.6237316874322,2870.333708333492
