iter	Logloss
0	0.6424633967
1	0.6047551454
2	0.5682392203
3	0.5439788952
4	0.5242004029
5	0.5052560493
6	0.4846297355
7	0.4707358327
8	0.4595078575
9	0.4495156711
10	0.4416316245
11	0.4338996197
12	0.4282432183
13	0.4201147991
14	0.4156875422
15	0.4126690348
16	0.408773326
17	0.4044890152
18	0.3984616801
19	0.3931284832
20	0.3872681814
21	0.3844051881
22	0.3795572516
23	0.3765942115
24	0.372262479
25	0.3691675519
26	0.3672963752
27	0.3652007166
28	0.3617926336
29	0.3604448498
30	0.3582127742
31	0.3561792235
32	0.3551744651
33	0.3541034036
34	0.3521783651
35	0.3489604516
36	0.3472021937
37	0.344625943
38	0.3423882314
39	0.3404194134
40	0.3393900329
41	0.3371740944
42	0.3350096537
43	0.33361544
44	0.3331232309
45	0.3316125678
46	0.3280219311
47	0.3265208057
48	0.3255569267
49	0.3244895146
50	0.3231755773
51	0.3219183971
52	0.3204831182
53	0.3190232406
54	0.317802784
55	0.3170419253
56	0.3157389469
57	0.3144270546
58	0.3118997997
59	0.3112532935
60	0.3097130393
61	0.3083114023
62	0.3074726099
63	0.30655109
64	0.3059246201
65	0.3050321548
66	0.3044052426
67	0.3036028964
68	0.3026454227
69	0.3019309006
70	0.3009827533
71	0.2999385536
72	0.299116237
73	0.2973770534
74	0.2963064413
75	0.2952246715
76	0.2943171249
77	0.2934186607
78	0.2927639437
79	0.2922936244
80	0.2915862638
81	0.2908633187
82	0.2902830759
83	0.289803319
84	0.289201238
85	0.2885085198
86	0.2878734414
87	0.2856158822
88	0.285005117
89	0.2847202233
90	0.2843049102
91	0.2836151847
92	0.2832739701
93	0.2825340614
94	0.2822835112
95	0.2818751086
96	0.2814107357
97	0.2813601821
98	0.2799721088
99	0.2793130589
100	0.2786122907
101	0.278355453
102	0.2780097497
103	0.2775412307
104	0.2772598893
105	0.2768148019
106	0.2759925073
107	0.2756384717
108	0.2746894903
109	0.2742059986
110	0.2737161067
111	0.2732625522
112	0.2726902972
113	0.2721119811
114	0.271666399
115	0.2712311448
116	0.2708848157
117	0.2705978235
118	0.2696476947
119	0.2692443923
120	0.2686614222
121	0.2682233696
122	0.2679164448
123	0.2674561696
124	0.2669229076
125	0.2665271352
126	0.2657464016
127	0.2648865922
128	0.264333169
129	0.2640611079
130	0.2632918721
131	0.2629111203
132	0.2626893111
133	0.262235514
134	0.261882811
135	0.2616565293
136	0.2613695185
137	0.2610496743
138	0.2603160817
139	0.259902995
140	0.2595802816
141	0.2590672106
142	0.2588853115
143	0.2586109468
144	0.2580865042
145	0.2574593769
146	0.2570815185
147	0.2567070185
148	0.2563040502
149	0.2558500242
150	0.2558219168
151	0.255375248
152	0.254846592
153	0.254335104
154	0.2539475298
155	0.2537481629
156	0.2533119907
157	0.2532939432
158	0.2526377552
159	0.2517045746
160	0.2514058256
161	0.2513570504
162	0.2510106822
163	0.2498605196
164	0.2492912287
165	0.2490132492
166	0.2485661883
167	0.2479025705
168	0.247255772
169	0.2466663496
170	0.2458660779
171	0.2454943242
172	0.2445010364
173	0.244149412
174	0.2437913478
175	0.2431376706
176	0.2426666232
177	0.2424201802
178	0.2416284892
179	0.2408422188
180	0.2404950714
181	0.2404512195
182	0.2399531927
183	0.2395519161
184	0.2391847966
185	0.2391537033
186	0.239134893
187	0.2387088151
188	0.237839677
189	0.237369888
190	0.23706479
191	0.2367767462
192	0.236585331
193	0.2358787159
194	0.2358578399
195	0.2353172714
196	0.2344611153
197	0.2340768429
198	0.2337288072
199	0.2334317783
200	0.2328113418
201	0.2323529605
202	0.2323205372
203	0.2319512033
204	0.2315511344
205	0.2315223214
206	0.2310510706
207	0.230612503
208	0.2302297831
209	0.2297008456
210	0.229443164
211	0.2286986036
212	0.2283201611
213	0.2280650682
214	0.2276574161
215	0.2276185555
216	0.2276054952
217	0.2275461076
218	0.2275161656
219	0.2271345298
220	0.2267274784
221	0.2266140218
222	0.2261204924
223	0.2260958426
224	0.2257358442
225	0.2254678749
226	0.2249359451
227	0.224547604
228	0.224384908
229	0.2239688831
230	0.2238309495
231	0.2236304978
232	0.2229835203
233	0.2225991192
234	0.2222475057
235	0.2219420483
236	0.2215490834
237	0.2214625911
238	0.2209801109
239	0.2206360305
240	0.2201567516
241	0.2196064309
242	0.2193590298
243	0.2189990941
244	0.2185221537
245	0.2183111075
246	0.2179518257
247	0.217452429
248	0.2174369242
249	0.2174080735
250	0.2169792709
251	0.2169428804
252	0.2169163522
253	0.2165596808
254	0.2165187937
255	0.2162517285
256	0.2158624121
257	0.2155544355
258	0.2153504969
259	0.2150122007
260	0.2149578783
261	0.214922586
262	0.2149011631
263	0.2143922381
264	0.214126866
265	0.213806476
266	0.2137863358
267	0.213287167
268	0.2132849017
269	0.2131674931
270	0.2128330186
271	0.2125466444
272	0.2123274735
273	0.2121269411
274	0.2119314
275	0.2116524094
276	0.2116336258
277	0.211498142
278	0.2113421813
279	0.2111032022
280	0.2111028299
281	0.2107422837
282	0.2105145481
283	0.2102577321
284	0.2097969111
285	0.2097787455
286	0.2097202428
287	0.2096586483
288	0.209501553
289	0.2093717192
290	0.2091410424
291	0.2088548061
292	0.2088417457
293	0.2084540065
294	0.2082584051
295	0.2082426569
296	0.2080623205
297	0.2080441311
298	0.2078550693
299	0.2073515949
300	0.2070193975
301	0.2067636745
302	0.2067492181
303	0.2067321048
304	0.2063289532
305	0.205962479
306	0.2055839081
307	0.2052909227
308	0.2047703705
309	0.2047601703
310	0.2044943994
311	0.204309127
312	0.2040265377
313	0.2040197342
314	0.2035153327
315	0.2032141649
316	0.2028744166
317	0.2025145944
318	0.2021990652
319	0.2017666111
320	0.2014384677
321	0.2013430921
322	0.2013243925
323	0.2010828344
324	0.2009027067
325	0.2007410616
326	0.2005623568
327	0.2004247245
328	0.200399413
329	0.2003844356
330	0.200038328
331	0.2000236461
332	0.1998057169
333	0.1997299234
334	0.1994299683
335	0.1990578582
336	0.1990017543
337	0.1986886763
338	0.1986776663
339	0.1985033689
340	0.1982885695
341	0.1982879896
342	0.1981937399
343	0.1979979888
344	0.1979977156
345	0.1976679049
346	0.1972119635
347	0.1971303264
348	0.1969654442
349	0.1966937452
350	0.1965548472
351	0.1963963629
352	0.1960023392
353	0.1958341305
354	0.1956319357
355	0.1953438098
356	0.1951179399
357	0.1950320248
358	0.1944492957
359	0.1939814353
360	0.193979939
361	0.1939359497
362	0.1937801888
363	0.1937490826
364	0.1934568595
365	0.1933490371
366	0.1933467948
367	0.1932412533
368	0.1930235335
369	0.1927372801
370	0.1927358889
371	0.1927345391
372	0.1923966396
373	0.1922460473
374	0.1920269034
375	0.1919335336
376	0.1917615645
377	0.1917103667
378	0.1915566013
379	0.1913620406
380	0.1913607041
381	0.1909214961
382	0.190524877
383	0.1903517065
384	0.1902491292
385	0.1899806989
386	0.189790338
387	0.1897880858
388	0.1897678657
389	0.1897648097
390	0.189764297
391	0.1897417158
392	0.1896141125
393	0.1892452136
394	0.1892397254
395	0.189208387
396	0.1891591805
397	0.1889597191
398	0.1886473743
399	0.1886471187
400	0.1886003379
401	0.188302769
402	0.1882819832
403	0.1882703024
404	0.1880979421
405	0.187860784
406	0.1876023302
407	0.1874270032
408	0.1872819811
409	0.1869312125
410	0.1866842208
411	0.1862949743
412	0.18605785
413	0.1859288696
414	0.1858869042
415	0.1856957961
416	0.1856566055
417	0.1854787033
418	0.1854768424
419	0.185227232
420	0.1850528073
421	0.1850344284
422	0.1849093179
423	0.1845576134
424	0.1843730147
425	0.1840960758
426	0.1836980041
427	0.1833823573
428	0.1833811243
429	0.1833798354
430	0.1832423361
431	0.1829322772
432	0.1829311212
433	0.1829300004
434	0.1828787834
435	0.1828711037
436	0.1826033621
437	0.1824543362
438	0.1822367857
439	0.1822284503
440	0.1820133274
441	0.1818909275
442	0.1818665318
443	0.1816429867
444	0.1814779122
445	0.1811939163
446	0.1808956844
447	0.1808060269
448	0.1806040875
449	0.1804547435
450	0.1801445268
451	0.1798693789
452	0.1796711302
453	0.179437011
454	0.1794118985
455	0.1792914547
456	0.1790794271
457	0.1788417528
458	0.1786811797
459	0.1786811771
460	0.178486026
461	0.17825286
462	0.1781992698
463	0.1781982577
464	0.1781912131
465	0.1778940499
466	0.1774397665
467	0.1773189106
468	0.1771182067
469	0.1768830101
470	0.1767153064
471	0.1764413707
472	0.1762537803
473	0.1762238322
474	0.1759845649
475	0.1759536439
476	0.1758069412
477	0.1756837641
478	0.175501065
479	0.1752858115
480	0.1750364285
481	0.1749646777
482	0.1748627665
483	0.1748560865
484	0.174828531
485	0.1747003483
486	0.1746941039
487	0.1746872036
488	0.1746861258
489	0.1746725431
490	0.1746714963
491	0.1744761491
492	0.1742786522
493	0.1740468552
494	0.1738661624
495	0.1738571221
496	0.1736954986
497	0.1735816188
498	0.1733218746
499	0.173094123
500	0.1729702852
501	0.172885523
502	0.1727625885
503	0.1726214098
504	0.1724497411
505	0.1724037365
506	0.172216542
507	0.1718559254
508	0.1717963791
509	0.1716739182
510	0.1714276043
511	0.1712322104
512	0.1711374442
513	0.170905335
514	0.1706935719
515	0.1703469832
516	0.1700980134
517	0.170060082
518	0.1700591259
519	0.1699112
520	0.1695981732
521	0.1694002959
522	0.1690975042
523	0.1690959829
524	0.169071219
525	0.1690702948
526	0.1690688768
527	0.1689133358
528	0.1688476422
529	0.1686773467
530	0.168382451
531	0.1683328758
532	0.1683315963
533	0.1683169457
534	0.1682144546
535	0.168210815
536	0.1680666451
537	0.1679948285
538	0.167752197
539	0.1677512062
540	0.1674971679
541	0.1672271667
542	0.1669254712
543	0.1669241899
544	0.1669130242
545	0.1669124233
546	0.1668668127
547	0.1666574956
548	0.1666363843
549	0.1663723224
550	0.1661849098
551	0.1660548996
552	0.1660040069
553	0.166002735
554	0.1659429241
555	0.1658917117
556	0.1657138354
557	0.1655565527
558	0.1652257796
559	0.1652246543
560	0.1652023337
561	0.1651531741
562	0.1651426721
563	0.1650788097
564	0.1649182223
565	0.1648915472
566	0.1648909446
567	0.1648908724
568	0.1647430109
569	0.1645753383
570	0.164245817
571	0.1642182071
572	0.1639834819
573	0.1637219329
574	0.1637194112
575	0.1636966094
576	0.1636798477
577	0.1636781529
578	0.1634887644
579	0.1634881282
580	0.1634879311
581	0.1634724584
582	0.1632932516
583	0.1632545216
584	0.1631298233
585	0.1631163582
586	0.1628344806
587	0.1627115284
588	0.1627025639
589	0.1624338899
590	0.16243181
591	0.1624317593
592	0.1622949802
593	0.1621996715
594	0.162198111
595	0.1620296368
596	0.1619741774
597	0.1618909946
598	0.1618280004
599	0.1617507319
600	0.1617381702
601	0.1616512393
602	0.1616511891
603	0.1616369274
604	0.1616320846
605	0.161485252
606	0.1613631091
607	0.1612717669
608	0.1612679076
609	0.161267338
610	0.1612327956
611	0.1610964009
612	0.1608278454
613	0.1607574445
614	0.1605308067
615	0.1605305945
616	0.160496186
617	0.1604837361
618	0.1604831329
619	0.1603530365
620	0.1601452563
621	0.1598513452
622	0.1596290111
623	0.1595578976
624	0.1595308259
625	0.1592695788
626	0.1590006207
627	0.158847171
628	0.1587591458
629	0.1587191894
630	0.1587174518
631	0.1585016753
632	0.1584630116
633	0.1582167359
634	0.1580076819
635	0.1577337462
636	0.1575737101
637	0.1572726592
638	0.1572480265
639	0.1570364916
640	0.1570364871
641	0.1570358908
642	0.1570358839
643	0.1568859548
644	0.1567646462
645	0.1567366425
646	0.1564021055
647	0.1563730048
648	0.1562705874
649	0.1561702355
650	0.1561487347
651	0.1561046297
652	0.1560702787
653	0.1558461264
654	0.1557094301
655	0.1555285067
656	0.1555048524
657	0.1553714204
658	0.1551729851
659	0.1548848938
660	0.1547314702
661	0.1546956725
662	0.1546276267
663	0.1544853187
664	0.1544698285
665	0.1541374206
666	0.1539712789
667	0.1537210338
668	0.1535300911
669	0.1534190295
670	0.1534174279
671	0.1534026303
672	0.1532565913
673	0.1532475917
674	0.1529841491
675	0.1528471561
676	0.1526365787
677	0.1524874189
678	0.1523894991
679	0.1522984082
680	0.1522282342
681	0.1522103204
682	0.1520901457
683	0.1518942209
684	0.1517894092
685	0.151625507
686	0.1514521731
687	0.1513704354
688	0.1512456064
689	0.1510676305
690	0.1510535359
691	0.1510210061
692	0.1509046995
693	0.150788179
694	0.150708987
695	0.1506376249
696	0.1504155077
697	0.1502193037
698	0.1500553669
699	0.1499741844
700	0.1499106932
701	0.1496016547
702	0.1496015842
703	0.1496015252
704	0.1495803059
705	0.1494427693
706	0.1493471554
707	0.1492931447
708	0.1492815604
709	0.1492608723
710	0.1492558605
711	0.1492540962
712	0.1492483667
713	0.149248259
714	0.1491534806
715	0.1490581
716	0.1489031991
717	0.1488056066
718	0.1486693619
719	0.1486662669
720	0.1485333376
721	0.1482886335
722	0.1482682757
723	0.148263763
724	0.1482408614
725	0.1481141517
726	0.1479843326
727	0.1477418696
728	0.1475491579
729	0.1474782561
730	0.1472889836
731	0.1471940959
732	0.1468557428
733	0.1466976449
734	0.1466640307
735	0.1465148702
736	0.1464657617
737	0.1463181593
738	0.1461170262
739	0.146013593
740	0.1459887913
741	0.145833175
742	0.1457377631
743	0.1456047192
744	0.1454342964
745	0.1454019666
746	0.1453940037
747	0.1453680788
748	0.1453677095
749	0.1452725776
750	0.1452681486
751	0.14503184
752	0.1446358103
753	0.144521269
754	0.1445145982
755	0.1444979864
756	0.1444966118
757	0.1444881864
758	0.1444464566
759	0.1444240524
760	0.1444228672
761	0.1443004028
762	0.14422187
763	0.1442098329
764	0.1440087123
765	0.143920061
766	0.1438772845
767	0.1436285309
768	0.1436121039
769	0.1436034421
770	0.1434404743
771	0.1434310693
772	0.1433001462
773	0.1431433277
774	0.1431430356
775	0.1430403264
776	0.1429055962
777	0.1429054483
778	0.1427059272
779	0.1425871828
780	0.1425751049
781	0.1424456251
782	0.1422196675
783	0.142175464
784	0.1421753168
785	0.1420608094
786	0.1419681426
787	0.1418115838
788	0.1416266978
789	0.1416266807
790	0.1415330091
791	0.1413797234
792	0.1413797163
793	0.1413020326
794	0.1411941419
795	0.1410562047
796	0.1410386787
797	0.1409971001
798	0.1409749898
799	0.1408123581
800	0.1408123021
801	0.1407973251
802	0.14059686
803	0.140486629
804	0.1403278035
805	0.1402951724
806	0.1402948901
807	0.1401751845
808	0.1401453353
809	0.1400571046
810	0.1400570932
811	0.1400443256
812	0.1400368797
813	0.1399050284
814	0.1399008385
815	0.1398871995
816	0.1396254966
817	0.1395642439
818	0.1394171663
819	0.1392484282
820	0.1391053826
821	0.1390688486
822	0.1390355136
823	0.1388884147
824	0.138871439
825	0.1387713294
826	0.1387479671
827	0.1386047887
828	0.1385108529
829	0.1384927377
830	0.1383523621
831	0.1383350725
832	0.138219913
833	0.1381147212
834	0.1380701468
835	0.1379507101
836	0.1378728197
837	0.1377359535
838	0.137579094
