Кількість Даних,Алгоритм Вставки,Алгоритм Обʼєднання,Алгоритм Timeit
10,0.41586504102451727,3.4691702499985695,0.11107450001873076
35,1.3856034590280615,16.057648167014122,0.1786390829947777
60,2.231561334047001,29.210695417015813,0.26252620900049806
85,3.163044125016313,43.129524957970716,0.37478158401791006
110,4.096967541961931,57.102780666959006,0.48775412497343495
135,4.951815042004455,72.65897674998268,0.5343440829892643
160,5.8577030840096995,87.99688641697867,0.5774178329738788
185,6.745045249990653,103.19111425004667,0.6558874169713818
210,7.691452083003242,117.93066437495872,0.7118032499565743
235,8.508143749961164,134.33723991701845,0.7912927090073936
260,9.62470183399273,151.5628492499818,0.8576765410252847
285,10.905421374947764,167.90124145895243,0.9285284170182422
310,12.329269334033597,184.29375091701513,1.016370250028558
335,13.69393112504622,199.94243083300535,1.0805278330226429
360,15.08269841701258,215.20363400003407,1.198039791022893
385,16.543250749993604,231.05520274996525,1.2180505419964902
410,17.833607457985636,246.94134837499587,1.2971091250074096
435,19.22291666700039,263.4833050830057,1.3550869159516878
460,21.276950083032716,281.7676429169951,1.442393874982372
485,22.104999999981374,298.4988176249899,1.5243979579536244
